stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
31,0.5,2.0,59.12011419999999,59.61964769999986,59.61964769999986,59.61964769999986,59.92006050000009,left,-2.0,0,0,0.478463400000237,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
32,0.5,2.5,60.11949139999979,60.61966540000003,60.61966540000003,60.61966540000003,60.920336099999986,left,-2.5,1,1,1.369244400000298,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
33,0.5,2.5,62.019636499999706,62.51931579999973,62.51931579999973,62.51931579999973,62.8191711999998,left,-2.5,1,1,3.6036221999997906,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
34,0.5,2.5,66.15217780000012,66.6358409999998,66.6358409999998,66.65210849999994,66.93537259999994,right,2.5,1,1,1.2113842000003388,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
35,0.5,2.0,67.86912529999972,68.36855569999989,68.36855569999989,68.36855569999989,68.66861349999999,right,2.0,1,1,0.7282067999999526,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
36,0.5,2.0,69.1191988999999,69.61869399999978,69.61869399999978,69.61869399999978,69.9181853,right,2.0,1,1,0.8132631999997102,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
37,0.5,2.0,70.45198900000014,70.95146509999995,70.95146509999995,70.96786199999997,71.25152209999987,right,2.0,0,0,1.2616579000000456,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
38,0.5,2.5,72.23515709999992,72.73511449999978,72.73511449999978,72.73511449999978,73.03502470000012,left,-2.5,1,1,0.6332550000001902,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
39,0.5,2.5,73.38492259999975,73.88474429999997,73.88474429999997,73.88474429999997,74.18426049999971,right,2.5,1,1,0.8085829999999987,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
40,0.5,2.5,74.71780099999978,75.21798069999977,75.21798069999977,75.21798069999977,75.5179321999999,right,2.5,1,1,0.6319588000001204,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
